tool_name	display_name	main_category	sub_category	availability	reason
MetaCyc_get_reaction	MetaCyc_get_reaction	化学	化学反应与合成	可用	匹配化学反应关键词
get_albumentations_info	get_albumentations_info	通用工具	Python包信息	可用	Python包信息工具
get_ase_info	get_ase_info	通用工具	Python包信息	可用	Python包信息工具
get_bokeh_info	get_bokeh_info	通用工具	Python包信息	可用	Python包信息工具
get_brian2_info	get_brian2_info	通用工具	Python包信息	可用	Python包信息工具
get_cartopy_info	get_cartopy_info	通用工具	Python包信息	可用	Python包信息工具
get_catboost_info	get_catboost_info	通用工具	Python包信息	可用	Python包信息工具
get_cftime_info	get_cftime_info	通用工具	Python包信息	可用	Python包信息工具
get_cobra_info	get_cobra_info	通用工具	Python包信息	可用	Python包信息工具
get_cobrapy_info	get_cobrapy_info	通用工具	Python包信息	可用	Python包信息工具
get_cooler_info	get_cooler_info	通用工具	Python包信息	可用	Python包信息工具
get_cryosparc_tools_info	get_cryosparc_tools_info	通用工具	Python包信息	可用	Python包信息工具
get_cupy_info	get_cupy_info	通用工具	Python包信息	可用	Python包信息工具
get_cyvcf2_info	get_cyvcf2_info	通用工具	Python包信息	可用	Python包信息工具
get_dask_info	get_dask_info	通用工具	Python包信息	可用	Python包信息工具
get_datamol_info	get_datamol_info	通用工具	Python包信息	可用	Python包信息工具
get_datashader_info	get_datashader_info	通用工具	Python包信息	可用	Python包信息工具
get_dendropy_info	get_dendropy_info	通用工具	Python包信息	可用	Python包信息工具
get_descriptastorus_info	get_descriptastorus_info	通用工具	Python包信息	可用	Python包信息工具
get_diffdock_info	get_diffdock_info	通用工具	Python包信息	可用	Python包信息工具
get_elephant_info	get_elephant_info	通用工具	Python包信息	可用	Python包信息工具
get_faiss_info	get_faiss_info	通用工具	Python包信息	可用	Python包信息工具
get_fanc_info	get_fanc_info	通用工具	Python包信息	可用	Python包信息工具
get_flask_info	get_flask_info	通用工具	Python包信息	可用	Python包信息工具
get_geopandas_info	get_geopandas_info	通用工具	Python包信息	可用	Python包信息工具
get_h5py_info	get_h5py_info	通用工具	Python包信息	可用	Python包信息工具
get_hmmlearn_info	get_hmmlearn_info	通用工具	Python包信息	可用	Python包信息工具
get_holoviews_info	get_holoviews_info	通用工具	Python包信息	可用	Python包信息工具
get_igraph_info	get_igraph_info	通用工具	Python包信息	可用	Python包信息工具
get_imageio_info	get_imageio_info	通用工具	Python包信息	可用	Python包信息工具
get_imbalanced_learn_info	get_imbalanced_learn_info	通用工具	Python包信息	可用	Python包信息工具
get_joblib_info	get_joblib_info	通用工具	Python包信息	可用	Python包信息工具
get_lifelines_info	get_lifelines_info	通用工具	Python包信息	可用	Python包信息工具
get_lightgbm_info	get_lightgbm_info	通用工具	Python包信息	可用	Python包信息工具
get_loompy_info	get_loompy_info	通用工具	Python包信息	可用	Python包信息工具
get_mageck_info	get_mageck_info	通用工具	Python包信息	可用	Python包信息工具
get_matplotlib_info	get_matplotlib_info	通用工具	Python包信息	可用	Python包信息工具
get_mne_info	get_mne_info	通用工具	Python包信息	可用	Python包信息工具
get_molfeat_info	get_molfeat_info	通用工具	Python包信息	可用	Python包信息工具
get_molvs_info	get_molvs_info	通用工具	Python包信息	可用	Python包信息工具
get_mordred_info	get_mordred_info	通用工具	Python包信息	可用	Python包信息工具
get_msprime_info	get_msprime_info	通用工具	Python包信息	可用	Python包信息工具
get_neo_info	get_neo_info	通用工具	Python包信息	可用	Python包信息工具
get_netcdf4_info	get_netcdf4_info	通用工具	Python包信息	可用	Python包信息工具
get_networkx_info	get_networkx_info	通用工具	Python包信息	可用	Python包信息工具
get_nglview_info	get_nglview_info	通用工具	Python包信息	可用	Python包信息工具
get_nilearn_info	get_nilearn_info	通用工具	Python包信息	可用	Python包信息工具
get_numba_info	get_numba_info	通用工具	Python包信息	可用	Python包信息工具
get_numpy_info	get_numpy_info	通用工具	Python包信息	可用	Python包信息工具
get_openbabel_info	get_openbabel_info	通用工具	Python包信息	可用	Python包信息工具
get_opencv_info	get_opencv_info	通用工具	Python包信息	可用	Python包信息工具
get_optlang_info	get_optlang_info	通用工具	Python包信息	可用	Python包信息工具
get_optuna_info	get_optuna_info	通用工具	Python包信息	可用	Python包信息工具
get_pandas_info	get_pandas_info	通用工具	Python包信息	可用	Python包信息工具
get_patsy_info	get_patsy_info	通用工具	Python包信息	可用	Python包信息工具
get_pillow_info	get_pillow_info	通用工具	Python包信息	可用	Python包信息工具
get_plotly_info	get_plotly_info	通用工具	Python包信息	可用	Python包信息工具
get_pyfaidx_info	get_pyfaidx_info	通用工具	Python包信息	可用	Python包信息工具
get_pykalman_info	get_pykalman_info	通用工具	Python包信息	可用	Python包信息工具
get_pymassspec_info	get_pymassspec_info	通用工具	Python包信息	可用	Python包信息工具
get_pymed_info	get_pymed_info	通用工具	Python包信息	可用	Python包信息工具
get_pymzml_info	get_pymzml_info	通用工具	Python包信息	可用	Python包信息工具
get_pyrosetta_info	get_pyrosetta_info	通用工具	Python包信息	可用	Python包信息工具
get_pysam_info	get_pysam_info	通用工具	Python包信息	可用	Python包信息工具
get_pyscreener_info	get_pyscreener_info	通用工具	Python包信息	可用	Python包信息工具
get_pytdc_info	get_pytdc_info	通用工具	Python包信息	可用	Python包信息工具
get_pytorch_info	get_pytorch_info	通用工具	Python包信息	可用	Python包信息工具
get_pyvis_info	get_pyvis_info	通用工具	Python包信息	可用	Python包信息工具
get_qutip_info	get_qutip_info	通用工具	Python包信息	可用	Python包信息工具
get_rasterio_info	get_rasterio_info	通用工具	Python包信息	可用	Python包信息工具
get_rdkit_info	get_rdkit_info	通用工具	Python包信息	可用	Python包信息工具
get_reportlab_info	get_reportlab_info	通用工具	Python包信息	可用	Python包信息工具
get_requests_info	get_requests_info	通用工具	Python包信息	可用	Python包信息工具
get_ruptures_info	get_ruptures_info	通用工具	Python包信息	可用	Python包信息工具
get_scholarly_info	get_scholarly_info	通用工具	Python包信息	可用	Python包信息工具
get_scikit_image_info	get_scikit_image_info	通用工具	Python包信息	可用	Python包信息工具
get_scikit_learn_info	get_scikit_learn_info	通用工具	Python包信息	可用	Python包信息工具
get_scipy_info	get_scipy_info	通用工具	Python包信息	可用	Python包信息工具
get_skopt_info	get_skopt_info	通用工具	Python包信息	可用	Python包信息工具
get_statsmodels_info	get_statsmodels_info	通用工具	Python包信息	可用	Python包信息工具
get_sympy_info	get_sympy_info	通用工具	Python包信息	可用	Python包信息工具
get_target_cofactor_info	get_target_cofactor_info	通用工具	Python包信息	可用	Python包信息工具
get_tiledb_info	get_tiledb_info	通用工具	Python包信息	可用	Python包信息工具
get_tool_info	get_tool_info	通用工具	Python包信息	可用	Python包信息工具
get_tqdm_info	get_tqdm_info	通用工具	Python包信息	可用	Python包信息工具
get_trackpy_info	get_trackpy_info	通用工具	Python包信息	可用	Python包信息工具
get_tskit_info	get_tskit_info	通用工具	Python包信息	可用	Python包信息工具
get_umap_learn_info	get_umap_learn_info	通用工具	Python包信息	可用	Python包信息工具
get_xarray_info	get_xarray_info	通用工具	Python包信息	可用	Python包信息工具
get_xesmf_info	get_xesmf_info	通用工具	Python包信息	可用	Python包信息工具
get_xgboost_info	get_xgboost_info	通用工具	Python包信息	可用	Python包信息工具
get_zarr_info	get_zarr_info	通用工具	Python包信息	可用	Python包信息工具
ADA_get_standards_section	ADA_get_standards_section	通用工具	其他通用工具	可用	默认分类
Anaconda_get_package	Anaconda_get_package	通用工具	其他通用工具	可用	默认分类
ArtIC_get_artwork	ArtIC_get_artwork	通用工具	其他通用工具	可用	默认分类
CORE_get_fulltext_snippets	CORE_get_fulltext_snippets	通用工具	其他通用工具	可用	默认分类
CRAN_get_package_versions	CRAN_get_package_versions	通用工具	其他通用工具	可用	默认分类
EPMC_get_citations	EPMC_get_citations	通用工具	其他通用工具	可用	默认分类
EPMC_get_references	EPMC_get_references	通用工具	其他通用工具	可用	默认分类
Finish	Finish	通用工具	其他通用工具	可用	默认分类
IDR_get_study	IDR_get_study	通用工具	其他通用工具	可用	默认分类
OpenCitations_get_citation_count	OpenCitations_get_citation_count	通用工具	其他通用工具	可用	默认分类
OpenCitations_get_citations	OpenCitations_get_citations	通用工具	其他通用工具	可用	默认分类
OpenCitations_get_references	OpenCitations_get_references	通用工具	其他通用工具	可用	默认分类
OpenFoodFacts_get_product	OpenFoodFacts_get_product	通用工具	其他通用工具	可用	默认分类
OutputSummarizationComposer	OutputSummarizationComposer	通用工具	其他通用工具	可用	默认分类
PyPIPackageInspector	PyPIPackageInspector	通用工具	其他通用工具	可用	默认分类
SemanticScholar_get_author	SemanticScholar_get_author	通用工具	其他通用工具	可用	默认分类
SemanticScholar_get_paper	SemanticScholar_get_paper	通用工具	其他通用工具	可用	默认分类
SemanticScholar_get_recommendations	SemanticScholar_get_recommendations	通用工具	其他通用工具	可用	默认分类
SoilGrids_get_properties	SoilGrids_get_properties	通用工具	其他通用工具	可用	默认分类
Survival_log_rank_test	Survival_log_rank_test	通用工具	其他通用工具	可用	默认分类
SwissDock_retrieve_results	SwissDock_retrieve_results	通用工具	其他通用工具	需要登录	默认分类
TCIA_get_body_part_values	TCIA_get_body_part_values	通用工具	其他通用工具	可用	默认分类
TCIA_get_modality_values	TCIA_get_modality_values	通用工具	其他通用工具	可用	默认分类
TCIA_get_series_metadata	TCIA_get_series_metadata	通用工具	其他通用工具	可用	默认分类
ToolDescriptionOptimizer	ToolDescriptionOptimizer	通用工具	其他通用工具	可用	默认分类
ToolDiscover	ToolDiscover	通用工具	其他通用工具	可用	默认分类
Tool_Finder	Tool_Finder	通用工具	其他通用工具	可用	默认分类
Tool_Finder_Keyword	Tool_Finder_Keyword	通用工具	其他通用工具	可用	默认分类
Tool_Finder_LLM	Tool_Finder_LLM	通用工具	其他通用工具	可用	默认分类
Tool_RAG	Tool_RAG	通用工具	其他通用工具	可用	默认分类
USCensus_get_population	USCensus_get_population	通用工具	其他通用工具	可用	默认分类
WFGY_triage_llm_rag_failure	WFGY_triage_llm_rag_failure	通用工具	其他通用工具	可用	默认分类
WorldBank_get_country	WorldBank_get_country	通用工具	其他通用工具	可用	默认分类
dbfetch_fetch_batch	dbfetch_fetch_batch	通用工具	其他通用工具	可用	默认分类
dbfetch_fetch_entry	dbfetch_fetch_entry	通用工具	其他通用工具	可用	默认分类
dbfetch_list_databases	dbfetch_list_databases	通用工具	其他通用工具	可用	默认分类
dbfetch_list_formats	dbfetch_list_formats	通用工具	其他通用工具	可用	默认分类
dynamic_package_discovery	dynamic_package_discovery	通用工具	其他通用工具	可用	默认分类
embedding_database_add	embedding_database_add	通用工具	其他通用工具	可用	默认分类
embedding_database_create	embedding_database_create	通用工具	其他通用工具	可用	默认分类
ena_get_entry	ena_get_entry	通用工具	其他通用工具	可用	默认分类
ena_get_entry_history	ena_get_entry_history	通用工具	其他通用工具	可用	默认分类
ena_get_entry_summary	ena_get_entry_summary	通用工具	其他通用工具	可用	默认分类
get_assembly_summary	get_assembly_summary	通用工具	其他通用工具	可用	默认分类
get_ec_number_by_entity_id	get_ec_number_by_entity_id	通用工具	其他通用工具	可用	默认分类
get_em_3d_fitting_and_reconstruction_details	get_em_3d_fitting_and_reconstruction_details	通用工具	其他通用工具	可用	默认分类
get_oligosaccharide_descriptors_by_entity_id	get_oligosaccharide_descriptors_by_entity_id	通用工具	其他通用工具	可用	默认分类
grep_tools	grep_tools	通用工具	其他通用工具	可用	默认分类
intact_get_interaction_details	intact_get_interaction_details	通用工具	其他通用工具	可用	默认分类
list_tools	list_tools	通用工具	其他通用工具	可用	默认分类
python_code_executor	python_code_executor	通用工具	其他通用工具	可用	默认分类
scite_get_tallies	scite_get_tallies	通用工具	其他通用工具	可用	默认分类
Crossref_get_work	Crossref_get_work	通用工具	学术文献与引用	可用	匹配学术文献关键词
DataCite_get_doi	DataCite_get_doi	通用工具	学术文献与引用	可用	匹配学术文献关键词
get_arxiv_info	get_arxiv_info	通用工具	学术文献与引用	可用	匹配学术文献关键词
openalex_get_author	openalex_get_author	通用工具	学术文献与引用	可用	匹配学术文献关键词
openalex_get_institution	openalex_get_institution	通用工具	学术文献与引用	可用	匹配学术文献关键词
openalex_get_work	openalex_get_work	通用工具	学术文献与引用	可用	匹配学术文献关键词
openalex_get_work_by_doi	openalex_get_work_by_doi	通用工具	学术文献与引用	可用	匹配学术文献关键词
GitHub_get_repository	GitHub_get_repository	通用工具	网页与搜索	可用	匹配网页搜索关键词
Wikipedia_get_content	Wikipedia_get_content	通用工具	网页与搜索	可用	匹配网页搜索关键词
Wikipedia_get_featured_content	Wikipedia_get_featured_content	通用工具	网页与搜索	可用	匹配网页搜索关键词
Wikipedia_get_summary	Wikipedia_get_summary	通用工具	网页与搜索	可用	匹配网页搜索关键词
get_webpage_text_from_url	get_webpage_text_from_url	通用工具	网页与搜索	可用	匹配网页搜索关键词
get_webpage_title	get_webpage_title	通用工具	网页与搜索	可用	匹配网页搜索关键词
GitHub_get_user_profile	GitHub_get_user_profile	通用工具	文件与执行	可用	匹配文件执行关键词
download_binary_file	download_binary_file	通用工具	文件与执行	可用	匹配文件执行关键词
download_file	download_file	通用工具	文件与执行	可用	匹配文件执行关键词
download_text_content	download_text_content	通用工具	文件与执行	可用	匹配文件执行关键词
execute_tool	execute_tool	通用工具	文件与执行	可用	匹配文件执行关键词
python_script_runner	python_script_runner	通用工具	文件与执行	可用	匹配文件执行关键词
InterProScan_get_job_status	InterProScan_get_job_status	通用工具	统计分析	可用	匹配统计分析关键词
MGnify_list_analyses	MGnify_list_analyses	通用工具	统计分析	可用	匹配统计分析关键词
SwissDock_check_job_status	SwissDock_check_job_status	通用工具	统计分析	需要登录	匹配统计分析关键词
Unpaywall_check_oa_status	Unpaywall_check_oa_status	通用工具	统计分析	需要API密钥	匹配统计分析关键词
get_core_refinement_statistics	get_core_refinement_statistics	通用工具	统计分析	可用	匹配统计分析关键词
SemanticScholar_get_pdf_snippets	SemanticScholar_get_pdf_snippets	通用工具	文档处理	可用	匹配文档处理关键词
convert_to_markdown	convert_to_markdown	通用工具	文档处理	可用	匹配文档处理关键词
ena_get_sequence_xml	ena_get_sequence_xml	通用工具	文档处理	可用	匹配文档处理关键词
get_pypdf2_info	get_pypdf2_info	通用工具	文档处理	可用	匹配文档处理关键词
Dataverse_get_dataset	Dataverse_get_dataset	通用工具	数据存储与检索	可用	匹配数据存储关键词
HuggingFace_get_model	HuggingFace_get_model	通用工具	数据存储与检索	可用	匹配数据存储关键词
OpenML_get_dataset	OpenML_get_dataset	通用工具	数据存储与检索	可用	匹配数据存储关键词
Wikidata_SPARQL_query	Wikidata_SPARQL_query	通用工具	知识图谱与本体	可用	匹配知识图谱关键词
Wikidata_get_entity	Wikidata_get_entity	通用工具	知识图谱与本体	可用	匹配知识图谱关键词
ModelDB_get_paper	ModelDB_get_paper	通用工具	机器学习	可用	匹配机器学习关键词
